Tempo;Referencia;Altura
0;54.35865865;30
0.060353996;56.26451497;29
0.120707992;54.75754181;27
0.181061987;55.65717899;27
0.241415983;55.16178587;26
0.301769979;53.70463797;29
0.362123975;53.08160858;30
0.422477971;54.60820269;30
0.482831966;55.35551203;31
0.543185962;55.01942009;32
0.603539958;56.66567417;29
0.663893954;55.65055506;29
0.72424795;54.77750771;28
0.784601945;55.30597469;32
0.844955941;55.67216639;32
0.905309937;53.88229591;29
0.965663933;55.30011647;31
1.026017929;56.50779807;26
1.086371924;55.0574364;30
1.14672592;53.49657678;28
1.207079916;54.8701448;28
1.267433912;54.32047097;32
1.327787908;54.52848899;32
1.388141903;54.11448107;35
1.448495899;55.07845281;37
1.508849895;54.93096266;32
1.569203891;56.34899883;27
1.629557887;56.20230567;29
1.689911882;54.76947231;32
1.750265878;54.89995687;39
1.810619874;54.56015641;15
1.87097387;54.41704177;28
1.931327866;54.79369301;26
1.991681861;53.34573592;37
2.052035857;54.90383072;38
2.112389853;54.13516321;31
2.172743849;53.91705101;30
2.233097845;54.50154912;30
2.29345184;54.60928459;39
2.353805836;55.91761947;43
2.414159832;54.22107193;33
2.474513828;56.2910474;31
2.534867824;55.42482071;25
2.595221819;54.16363474;35
2.655575815;56.58387727;37
2.715929811;55.57978961;33
2.776283807;55.00058368;29
2.836637803;55.40316231;22
2.896991798;54.97409615;38
2.957345794;53.82050998;37
3.01769979;54.34549103;36
3.078053786;53.84487616;35
3.138407782;55.07837548;28
3.198761777;55.01416563;42
3.259115773;54.65585084;41
3.319469769;56.71610734;41
3.379823765;54.04660017;36
3.440177761;55.91462472;37
3.500531756;56.24941536;53
3.560885752;54.92193127;66
3.621239748;53.46406628;73
3.681593744;57.62584346;87
3.74194774;54.48942317;96
3.802301735;53.71441334;110
3.862655731;56.37269672;122
3.923009727;54.27875704;129
3.983363723;56.43897301;142
4.043717719;52.75959033;154
4.104071714;55.24829914;162
4.16442571;55.95545829;165
4.224779706;54.7729862;183
4.285133702;55.2924828;190
4.345487698;53.67018988;201
4.405841693;57.44858112;205
4.466195689;55.30836133;211
4.526549685;55.4650529;224
4.586903681;55.25462309;237
4.647257677;54.10783855;248
4.707611672;54.96819485;252
4.767965668;54.50249496;258
4.828319664;54.98357099;268
4.88867366;55.33102526;286
4.949027656;54.70752377;298
5.009381651;54.57999989;304
5.069735647;55.66456049;313
5.130089643;56.03435606;316
5.190443639;53.87767137;336
5.250797635;54.57429813;346
5.31115163;53.19304728;360
5.371505626;57.05998038;366
5.431859622;54.5819261;373
5.492213618;55.20366792;387
5.552567614;54.98239183;395
5.612921609;55.94135156;406
5.673275605;55.46878416;414
5.733629601;55.09004863;432
5.793983597;55.99861406;431
5.854337593;54.36015174;442
5.914691588;54.61730276;451
5.975045584;55.37290706;465
6.03539958;54.81698669;469
6.095753576;57.18536898;485
6.156107572;53.91361598;494
6.216461567;53.74845384;505
6.276815563;54.27742628;520
6.337169559;54.672772;529
6.397523555;53.10955188;540
6.457877551;55.0451163;552
6.518231546;53.79584788;571
6.578585542;54.25180518;580
6.638939538;55.41124923;590
6.699293534;55.42667628;596
6.75964753;55.57095766;604
6.820001525;54.13907455;617
6.880355521;55.62630312;632
6.940709517;54.90441128;647
7.001063513;55.69553696;655
7.061417509;55.93219349;656
7.121771504;56.04717091;666
7.1821255;54.81042407;676
7.242479496;53.54752711;686
7.302833492;54.88022962;695
7.363187488;54.51045776;712
7.423541483;53.20852122;718
7.483895479;55.29922944;720
7.544249475;54.86342579;735
7.604603471;55.84621694;747
7.664957467;54.62943324;756
7.725311462;54.72307994;762
7.785665458;55.94564004;775
7.846019454;53.74303848;779
7.90637345;54.41650217;791
7.966727446;55.55364913;804
8.027081441;52.70935981;824
8.087435437;53.84813883;831
8.147789433;54.27650181;842
8.208143429;53.21109466;852
8.268497425;53.64196994;855
8.32885142;57.13012989;868
8.389205416;56.45901963;875
8.449559412;54.71962631;895
8.509913408;56.32420506;916
8.570267404;55.53476392;924
8.630621399;56.04146574;931
8.690975395;55.80649346;931
8.751329391;54.69419353;935
8.811683387;54.8533875;946
8.872037383;53.61385059;964
